date,posting_date,description,merchant,category,transaction_type,amount,balance,account_mask,transaction_id
2024-01-07,2024-01-08,Wellness Centre Healthcare,Wellness Centre,Healthcare,debit,199.58,-640863.78,****1234,T2004537
2024-01-07,2024-01-07,CinemaWorld Entertainment,CinemaWorld,Entertainment,debit,322.67,-647427.14,****1234,T2004627
2024-01-08,2024-01-10,Halifax Power Utilities,Halifax Power,Utilities,debit,269.55,-325871.04,****1234,T2002433
2024-01-08,2024-01-09,TuneStream Subscription,TuneStream,Subscription,debit,11.36,-335149.0,****1234,T2002525
2024-01-08,2024-01-08,Coastal Gas Utilities,Coastal Gas,Utilities,debit,141.8,-368810.16,****1234,T2002804
2024-01-08,2024-01-08,Merchant Refund Refund,Merchant Refund,Refund,credit,174.49,-388048.66,****1234,T2003023
2024-01-08,2024-01-10,Bank ATM ATM Withdrawal,Bank ATM,ATM Withdrawal,debit,74.36,-431089.74,****1234,T2003330
2024-01-08,2024-01-10,Halifax Power Utilities,Halifax Power,Utilities,debit,230.52,-572854.5,****1234,T2004093
2024-01-08,2024-01-08,ElectroMall Online Shopping,ElectroMall,Online Shopping,debit,325.11,-625503.29,****1234,T2004359
2024-01-08,2024-01-09,Coastal Gas Utilities,Coastal Gas,Utilities,debit,182.34,-651159.22,****1234,T2004579
2024-01-09,2024-01-10,Revenue Agency Taxes,Revenue Agency,Taxes,debit,935.59,-204576.22,****1234,T2001632
2024-01-09,2024-01-10,Budget Grocer Groceries,Budget Grocer,Groceries,debit,392.26,-271140.59,****1234,T2001939
2024-01-09,2024-01-09,Pasta House Dining,Pasta House,Dining,debit,354.13,-501064.17,****1234,T2003698
2024-01-09,2024-01-10,AutoShield Insurance,AutoShield,Insurance,debit,96.32,-518702.92,****1234,T2003850
2024-01-09,2024-01-09,Bistro 24 Dining,Bistro 24,Dining,debit,149.64,-648905.24,****1234,T2004591
2024-01-10,2024-01-12,TuneStream Subscription,TuneStream,Subscription,debit,13.08,-5404.76,****1234,T2000054
2024-01-10,2024-01-11,Coastal Gas Utilities,Coastal Gas,Utilities,debit,32.58,-83719.36,****1234,T2000555
2024-01-10,2024-01-10,Arcade Hub Entertainment,Arcade Hub,Entertainment,debit,380.49,-87372.47,****1234,T2000596
2024-01-10,2024-01-10,ShopEasy Online Shopping,ShopEasy,Online Shopping,debit,190.69,-103009.42,****1234,T2000692
2024-01-10,2024-01-10,City Transit Transport,City Transit,Transport,debit,26.3,-233302.98,****1234,T2001735
2024-01-10,2024-01-11,Coastal Gas Utilities,Coastal Gas,Utilities,debit,202.25,-240693.73,****1234,T2001763
2024-01-10,2024-01-10,SuperMart Groceries,SuperMart,Groceries,debit,383.13,-261123.63,****1234,T2001894
2024-01-10,2024-01-11,Interac e-Transfer Transfer,Interac e-Transfer,Transfer,credit,36.13,-285745.27,****1234,T2002033
2024-01-10,2024-01-12,WaterWorks Halifax Utilities,WaterWorks Halifax,Utilities,debit,220.1,-491940.27,****1234,T2003653
2024-01-10,2024-01-11,Green Basket Groceries,Green Basket,Groceries,debit,88.6,-613988.08,****1234,T2004277
2024-01-11,2024-01-13,MegaDeals Online Shopping,MegaDeals,Online Shopping,debit,82.28,-116900.24,****1234,T2000879
2024-01-11,2024-01-12,Pasta House Dining,Pasta House,Dining,debit,79.94,-314474.29,****1234,T2002322
2024-01-11,2024-01-11,Interac e-Transfer Transfer,Interac e-Transfer,Transfer,debit,328.88,-408470.42,****1234,T2003199
2024-01-11,2024-01-11,Coastal Gas Utilities,Coastal Gas,Utilities,debit,134.53,-550059.87,****1234,T2004001
2024-01-11,2024-01-11,Bank Fee,Bank Fee,Fee,debit,38.43,-550059.87,****1234,T2004001F
2024-01-11,2024-01-11,SuperMart Groceries,SuperMart,Groceries,debit,121.97,-614795.84,****1234,T2004281
2024-01-11,2024-01-12,Merchant Refund Refund,Merchant Refund,Refund,credit,66.97,-621676.23,****1234,T2004375
